Centroid X µm,Centroid Y µm,DAPI: Cell: Mean,CD34: Cell: Mean,CD31: Cell: Mean,CD4: Cell: Mean,CD8: Cell: Mean,CD21: Cell: Mean,CD68: Cell: Mean,CD38: Cell: Mean,HLA-DR: Cell: Mean,CD3e: Cell: Mean,CD79a: Cell: Mean,Ki67: Cell: Mean,Bcl-2: Cell: Mean,MPO: Cell: Mean,CD20: Cell: Mean
8934.7,2444.2,2448.6001,286.6487,11.1405,3095.2378,488.8649,109.0486,1673.6432,559.7838,293.9676,4577.562,299.0108,123.1568,7265.7134,118.4216,317.8054
8776.7,2444.2,1714.6068,268.0855,0,984.7607,344.0855,811.7778,1176.2821,421.9744,949.3077,967.1025,618.2991,250.9487,25522.1445,137.9316,2933.4614
8765,2445.3,1710.5636,247.9182,0.0955,2807.4319,319.7455,396.7545,1632.6909,422.2,580.3273,3031.3137,561.7409,83.0318,18201.8281,123.8,2438.0273
8858.7,2444.9,1342.6851,152.1915,2.417,1202.3829,66.3915,82.3532,1323.3531,183.3489,268.4553,801.251,235.234,97.3872,10542.1914,58.7192,1547.0894
8844.6,2444.6,1224.317,47.7561,0.0163,1671.3658,228.7724,98.5854,1560.5691,185.7724,234.065,2850.0164,136.1951,60.6911,7316.1709,390.8699,1557.9105
8750.5,2445.6,1288.6,197.0968,0.0387,1908.4387,456.4452,3498.8838,1654.3678,516.4581,1144.0258,2582.1484,358.4968,73.8387,9536.9482,139.4581,3690.0645
8908.7,2445.5,1817.413,214.5802,1.6826,1815.3993,2507.0273,104.2765,1766.0922,440.1945,394.0853,2856.2935,333.0171,1636.1672,12435.7236,108.5836,1723.8669
8759,2447.3,1319.8313,192.3909,0.1605,2131.502,549.5473,959.214,2538.0947,660.6873,1168.6543,2455.7324,479.0617,163.6461,15672.6211,134.642,3374.2468
8838.5,2446.4,1542.6562,193.4297,0.5078,1406.75,348.8828,153.3359,2512.1719,399.1094,468.1797,1378.0234,514.1016,69.7422,18634.1016,1946.0156,2769.9375
8942.3,2447.6,1264.1951,129.6219,9.7439,1267.2805,2800.3779,75.4146,1108.4878,301.1585,474.5976,3337.3049,214.4268,75.7195,5688.3413,52.4268,858.9268
8868.2,2446.2,1512.4232,157.1938,10.2506,988.5958,848.6288,85.9976,1160.5391,265.0071,297.9503,1886.2246,338.5603,1058.0378,11522.6074,76.2175,1275.3546
8961.5,2447.6,1295.6012,146.3436,0.5951,3380.4663,159.8896,108.6135,1029.5706,310.4662,715.1166,5030.374,240.5215,159.1472,9676.2451,67.6871,1360.8589
8877.4,2447.8,849.9952,297.9517,891.4637,687.8889,52.4493,77.1691,1622.2271,107.1981,266.5797,336.1497,63.8454,91.7295,4730.623,341.3333,388.6812
8737,2448.1,1018.7778,124.7521,0.0684,899.6411,67.359,210.3419,1358.8975,306.4188,615.7692,448.265,328.265,50.094,11032.0518,69.1026,3305.5044
8798.3,2448.7,1359.1593,179.1778,0.363,1328.8704,193.8556,448.463,964.0037,383.7111,791.7963,1436.0408,479.1222,62.7296,11633.3887,119.137,3844.5593
8846.1,2449.9,1419.3379,50.411,0.0046,1317.1781,61.8402,223.6621,1286.0457,131.0685,332.1279,1275.5251,188.7808,57.5069,15420.6943,194.6941,2197.7031
8745.9,2449.3,1211.8618,175.3527,0,915.4036,1755.0291,2252.6072,1270.3455,492.8836,1101.8655,2058.3745,455.8218,72.1745,14236.3311,117.5673,4036.5708
8832.1,2449.5,1731.5852,189.0739,1.5341,2435.301,222.4659,143.6193,1105.4716,370.2784,351.6079,3000.5569,462.4602,58.5511,13691.3584,111.3636,2315.625
8853.5,2449.9,1037.743,83.3743,73.5642,2157.4749,141.2402,157.9553,1680.1732,196.8156,292.5084,1796.6815,135.3352,57.2849,5717.3521,44.4972,1219.3519
8807.3,2449.1,1471.1287,173.0792,29.9802,1921.3762,813.0957,436.3234,1228.3235,383.0726,598.0957,2719.231,442.8647,68.0693,17390.6562,125.2508,3999.0396
8930.6,2449.9,1295.8104,182.6208,3.7299,2364.2512,245.7299,106,1915.8436,335.654,382.6682,2256.9717,293.9194,70.8531,11630.8008,90.8483,871.3602
8814.4,2449.3,1746.8203,203.6168,38.9581,2297.2515,1109.6467,181.8743,1350.3473,536.9641,423.3234,3308.988,349.7245,462.9461,9588.8447,121.8383,1666.1138
8776.3,2450.5,1814.2808,346.6453,9.4975,1195.3301,294.9458,555.3301,1194.9064,449.6453,783.6059,1270.4237,494.7537,1064.4828,15088.7881,121.9507,2909.0935
8770.1,2450.1,1959.085,371.6471,5.3268,995.1307,120.6667,384.4641,1999.2418,407.5425,892.4052,936.8497,547.098,380.5229,24432.0781,115.7908,2874.4119
